#scalar perturbations for mode k = 3.115658154372e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       3.879550222296e+00       8.407185515036e-06      -1.213518970721e+00       1.128436273679e-03       6.386505397786e-08       1.596626349447e-07       1.584018317730e-13       3.193252698893e-08      -9.101392280415e-01       1.128436274798e-03       6.014684305954e-01       6.973510668543e-01      -1.213518121210e+00       1.127693636503e-03       5.843456137525e-04      -9.101405298652e-01       1.129949319737e-03 
       3.994984760540e+00       8.659167313959e-06      -1.213972442202e+00       1.161832740316e-03       6.975540798689e-08       1.743885199672e-07       1.835379176390e-13       3.487770399344e-08      -9.104793316524e-01       1.161832741637e-03       6.014524163013e-01       6.972817617213e-01      -1.213971473173e+00       1.161021639347e-03       6.195512579256e-04      -9.104808160556e-01       1.163484383055e-03 
       4.110419298784e+00       8.911254821744e-06      -1.214432844786e+00       1.195214690361e-03       7.599809064043e-08       1.899952266011e-07       2.117756683922e-13       3.799904532022e-08      -9.108246335902e-01       1.195214691913e-03       6.014360733121e-01       6.972120085692e-01      -1.214431745387e+00       1.194331032109e-03       6.557804765862e-04      -9.108263170418e-01       1.197013112587e-03 
       4.225853837028e+00       9.163448038391e-06      -1.214900280425e+00       1.228581889043e-03       8.260341574236e-08       2.065085393559e-07       2.433949166496e-13       4.130170787118e-08      -9.111752103201e-01       1.228581890854e-03       6.014193872153e-01       6.971417813468e-01      -1.214899039167e+00       1.227621460143e-03       6.930325711747e-04      -9.111771102468e-01       1.230535504487e-03 
       4.341288375272e+00       9.415746963900e-06      -1.215374841413e+00       1.261934104224e-03       8.958170162335e-08       2.239542540584e-07       2.786920113069e-13       4.479085081168e-08      -9.115311310608e-01       1.261934106326e-03       6.014023442481e-01       6.970710564091e-01      -1.215373446147e+00       1.260892571381e-03       7.313068287256e-04      -9.115332658739e-01       1.264051557220e-03 
       4.456722913515e+00       9.668151598271e-06      -1.215856610727e+00       1.295271105359e-03       9.694327086021e-08       2.423581771505e-07       3.179803084550e-13       4.847163543010e-08      -9.118924580466e-01       1.295271107786e-03       6.013849314771e-01       6.969998124302e-01      -1.215855048630e+00       1.294144015287e-03       7.706025219096e-04      -9.118948471687e-01       1.297561270515e-03 
       4.572157451759e+00       9.920661941503e-06      -1.216345670509e+00       1.328592672018e-03       1.046984507282e-07       2.617461268204e-07       3.615906660162e-13       5.234922536409e-08      -9.122592528836e-01       1.328592674807e-03       6.013671351442e-01       6.969280282851e-01      -1.216343928062e+00       1.327375451392e-03       8.109189093846e-04      -9.122619167748e-01       1.331064653887e-03 
       4.691283157510e+00       1.018135746020e-05      -1.216858044539e+00       1.362963268219e-03       1.131252464876e-07       2.828131162191e-07       4.114968962403e-13       5.656262324382e-08      -9.126435334065e-01       1.362963271424e-03       6.013483640840e-01       6.968533737500e-01      -1.216856101045e+00       1.361648112720e-03       8.535938371808e-04      -9.126465034329e-01       1.365632669839e-03 
       4.810408863261e+00       1.044216555619e-05      -1.217378264388e+00       1.397316864812e-03       1.219935803658e-07       3.049839509144e-07       4.667816564965e-13       6.099679018289e-08      -9.130336982933e-01       1.397316868479e-03       6.013291731745e-01       6.967781222311e-01      -1.217376103885e+00       1.395898644025e-03       8.973541265111e-04      -9.130369985772e-01       1.400193878824e-03 
       4.929534569012e+00       1.070308622949e-05      -1.217906416535e+00       1.431653242615e-03       1.313148152595e-07       3.282870381487e-07       5.278705460855e-13       6.565740762974e-08      -9.134298124046e-01       1.431653246793e-03       6.013095459107e-01       6.967022514285e-01      -1.217904022238e+00       1.430126694027e-03       9.421989136771e-04      -9.134334682975e-01       1.434748313272e-03 
